A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Epsiode 1120/10000 - Total Reward: 85.00
Epsiode 1121/10000 - Total Reward: 75.00
Epsiode 1122/10000 - Total Reward: 100.00
Epsiode 1123/10000 - Total Reward: 240.00
Epsiode 1124/10000 - Total Reward: 295.00
Epsiode 1125/10000 - Total Reward: 320.00
Epsiode 1126/10000 - Total Reward: 160.00
Epsiode 1127/10000 - Total Reward: 225.00
Epsiode 1128/10000 - Total Reward: 410.00
Epsiode 1129/10000 - Total Reward: 140.00
Epsiode 1130/10000 - Total Reward: 165.00
Epsiode 1131/10000 - Total Reward: 30.00
Epsiode 1132/10000 - Total Reward: 55.00
Epsiode 1133/10000 - Total Reward: 295.00
Epsiode 1134/10000 - Total Reward: 260.00
Epsiode 1135/10000 - Total Reward: 125.00
Epsiode 1136/10000 - Total Reward: 280.00
Epsiode 1137/10000 - Total Reward: 510.00
Epsiode 1138/10000 - Total Reward: 160.00
Epsiode 1139/10000 - Total Reward: 190.00
Epsiode 1140/10000 - Total Reward: 185.00
Epsiode 1141/10000 - Total Reward: 405.00
Epsiode 1142/10000 - Total Reward: 35.00
Epsiode 1143/10000 - Total Reward: 260.00
Epsiode 1144/10000 - Total Reward: 65.00
Epsiode 1145/10000 - Total Reward: 120.00
Epsiode 1146/10000 - Total Reward: 190.00
Epsiode 1147/10000 - Total Reward: 50.00
Epsiode 1148/10000 - Total Reward: 200.00
Epsiode 1149/10000 - Total Reward: 80.00
Epsiode 1150/10000 - Total Reward: 150.00
Saved checkpoint at episode 1150 -> checkpoint.pth
Epsiode 1151/10000 - Total Reward: 225.00
Epsiode 1152/10000 - Total Reward: 190.00
Epsiode 1153/10000 - Total Reward: 70.00
Epsiode 1154/10000 - Total Reward: 220.00
Epsiode 1155/10000 - Total Reward: 240.00
Epsiode 1156/10000 - Total Reward: 100.00
Epsiode 1157/10000 - Total Reward: 90.00
Epsiode 1158/10000 - Total Reward: 80.00
Epsiode 1159/10000 - Total Reward: 480.00
Epsiode 1160/10000 - Total Reward: 210.00
Epsiode 1161/10000 - Total Reward: 135.00
Epsiode 1163/10000 - Total Reward: 105.00
Epsiode 1164/10000 - Total Reward: 20.00
Epsiode 1165/10000 - Total Reward: 150.00
Epsiode 1166/10000 - Total Reward: 265.00
Epsiode 1167/10000 - Total Reward: 280.00
Epsiode 1168/10000 - Total Reward: 130.00
Epsiode 1169/10000 - Total Reward: 150.00
Epsiode 1170/10000 - Total Reward: 160.00
Epsiode 1171/10000 - Total Reward: 445.00
Epsiode 1172/10000 - Total Reward: 115.00
Epsiode 1173/10000 - Total Reward: 215.00
Epsiode 1174/10000 - Total Reward: 110.00

Added a code to add to this file every episode from now on for consistency
Episode 1251/10000 - Total Reward: 245.00
Episode 1252/10000 - Total Reward: 230.00
Episode 1253/10000 - Total Reward: 310.00
Episode 1254/10000 - Total Reward: 225.00
Episode 1255/10000 - Total Reward: 215.00
Episode 1256/10000 - Total Reward: 90.00
Episode 1257/10000 - Total Reward: 110.00
Episode 1258/10000 - Total Reward: 200.00
Episode 1259/10000 - Total Reward: 105.00
Episode 1260/10000 - Total Reward: 165.00
Episode 1261/10000 - Total Reward: 70.00
Episode 1262/10000 - Total Reward: 185.00
Episode 1263/10000 - Total Reward: 180.00
Episode 1264/10000 - Total Reward: 515.00
Episode 1265/10000 - Total Reward: 175.00
Episode 1266/10000 - Total Reward: 170.00
Episode 1267/10000 - Total Reward: 60.00
Episode 1268/10000 - Total Reward: 220.00
Episode 1269/10000 - Total Reward: 540.00
Episode 1270/10000 - Total Reward: 170.00
Episode 1271/10000 - Total Reward: 130.00
Episode 1272/10000 - Total Reward: 205.00
Episode 1273/10000 - Total Reward: 275.00
Episode 1274/10000 - Total Reward: 20.00
Episode 1275/10000 - Total Reward: 170.00
Episode 1276/10000 - Total Reward: 250.00
Episode 1277/10000 - Total Reward: 215.00
Episode 1278/10000 - Total Reward: 395.00
Episode 1279/10000 - Total Reward: 285.00
Episode 1280/10000 - Total Reward: 85.00
Episode 1281/10000 - Total Reward: 185.00
Episode 1282/10000 - Total Reward: 255.00
Episode 1283/10000 - Total Reward: 35.00
Episode 1284/10000 - Total Reward: 155.00
Episode 1285/10000 - Total Reward: 435.00
Episode 1286/10000 - Total Reward: 150.00
Episode 1287/10000 - Total Reward: 100.00
Episode 1288/10000 - Total Reward: 75.00
Episode 1289/10000 - Total Reward: 160.00
Episode 1290/10000 - Total Reward: 215.00
